names,values_a,values_b
Ms. Hasel Nikolaus DVM,6613,743
Ms. Dagmar Gusikowski MD,2606,357
Dijon Rogahn,8403,375
Mr. Verlon Carroll I,6560,4974
Toby Kris PhD,1582,7114
Mr. Zachery Walter,7125,7021
Samantha Boehm-Sporer,1697,4885
Izetta Volkman,9024,8574
Vernell Waters,6108,3138
Sherrill Kemmer V,4055,4784
Mr. Kaye Frami,731,1264
Lorraine Schimmel-Gutkowski,4442,1360
Bascom Brekke-O'Conner,618,9895
Kelis Little,3627,5215
Tillman Hammes PhD,3502,6188
Dr. Randle Bechtelar IV,3918,7536
Mrs. Malissie Ernser PhD,7102,141
Roma Prosacco,1733,3781
Luberta Reichert,439,7266
Cathie Johnston,8814,2422
Rashaad Harber III,8361,9752
Dr. Ester Bogisich,5380,9164
Russell Fadel,5809,3315
Mrs. Elinor Beier,8621,6678
Ms. Beverlee Muller,2108,1059
Gregory Spencer,5455,170
Miss Vena Ortiz,8961,4887
Philip Quigley,5244,3186
Mrs. Rena Hirthe PhD,1880,3933
Dr. Keifer Baumbach,10,9469
Leamon Dietrich,8437,2565
Merrilee Skiles,6765,8821
Juelz Koepp,467,8387
Lacey Kuphal,2110,1929
Katrina Willms-Schumm,9886,8889
Dr. Christa Kovacek DVM,7990,8143
Linn Donnelly,8612,2454
Mrs. Orah Wuckert,5399,4927
Ceasar Tillman,8067,9599
Huey Kuhlman V,6018,8218
Dr. Gael Ortiz,2036,1137
Hassie Cormier,3419,2119
Mauricio Moore,4431,2340
Wilson Skiles,4123,619
Gilford Halvorson,4903,8829
Orion Moen,2731,5130
Emerald Torp DDS,8402,9978
Rahsaan Prohaska,2262,28
Alwin Cassin,4897,2190
Mr. Ozzie Cassin PhD,5266,723
Dr. Clarnce Ward,7264,2486
Van Considine,4660,4319
Etna Simonis,6352,1948
Benjiman Bosco,4873,7534
Dr. Dustyn Johns,3562,1318
Chesley Walter,8159,5574
Hattie Hauck,985,1770
Tylor Parisian MD,1389,8855
Melony Reilly-Leannon,7649,8643
Lou Wilderman-McKenzie,9593,8426
Johnie Ebert,888,6883
Mr. Otho Cartwright I,2285,8161
Mr. Terrill Trantow DVM,4065,5432
Candace Crooks,6598,1606
Pinkie Kuhn,8192,7247
Mr. Shawn Schiller,7287,2679
Benjaman O'Connell,4805,558
Roselyn Sawayn,2351,5116
Green Prosacco-D'Amore,1430,5740
Brantley Pfeffer IV,2563,5628
Jannette Lind,9992,9366
Rebeca Barton,3468,3249
Senora Johnston,4706,6562
Sandie Daniel,9124,2111
Gabriela Treutel,1189,1629
Harm Baumbach,7700,8544
Rosia Nienow,4031,3663
Shaun Auer,4155,4741
Dr. Casen Grant,8271,5570
Mr. Reagan Turcotte DVM,2888,2594
Camron Lakin,2785,8306
Colt Heathcote-Schaefer,7507,4177
Sheree Harber,561,6056
Ilma Bogisich,2720,6171
Mrs. Denisse Klocko,820,4079
Asher Herman-Casper,3156,3622
Carma Borer,9702,4155
Claudie Gerlach,3283,7792
Nathan Kemmer,5460,1275
Mr. Denny Johns,3744,1622
Tayla Davis DDS,5733,2544
Miss Precious Padberg PhD,234,6407
Mr. Nash Waelchi I,116,9608
Phoebe Bartoletti,3083,2554
Archie Monahan III,8317,8572
Madelynn Roberts PhD,7047,8519
Jovita Steuber,818,1289
Mr. Corey Bartoletti II,6447,8143
Kristofer Turcotte,6609,3553
Titus Brown,935,7539
Kraig Nitzsche,5319,1806
Abdullah Murazik,2172,4493
Miss Brylee Hilpert MD,8908,4702
Marsh Volkman,6173,1781
Pierre Mann PhD,1250,5527
Alisa Abernathy DDS,8077,9678
Etna Muller,872,7376
Lorrie King,7899,7924
Grady Stanton,6172,1378
Marylee Douglas PhD,7845,4384
Ermine Stamm,7307,506
Ebert Champlin-Bogan,2744,7017
Philomena Bailey-Quigley,8088,6625
Janette Ferry,6400,9142
Aria Frami-Deckow,3228,83
Leonidas Mayert-Stamm,3097,5210
Mr. Grayson Howe V,3651,6102
Marla Walker,9465,1985
Selene Gutkowski,7145,1599
Bob Gerlach-Schuster,1103,5675
Rylie Shanahan-Considine,5342,1787
Miss Jaclyn Pfannerstill PhD,6285,9856
Mrs. Dulce Ferry,9305,6722
Reinhold Balistreri,2250,9144
Raelynn Pacocha,3311,5404
Sarah Rau PhD,5047,9191
Dr. Lahoma Kirlin MD,6269,8027
Mr. Landan Carroll III,3906,9891
Miss Paloma Marvin DVM,9740,2214
Sing Bins-Miller,7894,7898
Burrell Abbott-Lueilwitz,4466,5993
Flonnie Zboncak,6559,1550
Leonel Fisher III,6936,1179
Fronnie Dickens,5425,6605
Charline Hyatt DVM,9519,1707
Patrica Larson,4235,1981
Cappie Marvin,7786,6465
Ammon Bashirian,6814,6470
Manson Steuber-Stracke,7892,302
Mr. Levie Maggio,6368,1234
Shirley Kozey,3819,5313
Dr. Patsy Gerlach,8806,8425
Dr. Golda Jenkins DDS,9444,8547
Farrah Lakin-Daugherty,6712,2397
Amani Frami-Purdy,7002,752
Genevieve Kling,5613,6850
Arne Kshlerin Jr.,1642,784
Jeramiah Stroman-Torphy,6913,2748
Katharine Bosco,7618,7315
Dannielle Kreiger,4429,6648
Dr. Jalyn Feeney,9203,2711
Mrs. Oneida Pollich MD,695,9526
Mathilde Goldner-White,5272,6037
Israel Cruickshank,3045,1469
Dr. Tammy Powlowski,3807,766
Velia Blick,459,8007
Rosina Homenick,2395,9301
Milan Bashirian,798,1399
Bradley Hartmann,7180,4474
Stephaine Nader,4132,4335
Kristan Jacobs,9310,2233
Celeste Rice,6181,5212
Delpha Schinner,3887,8656
Jann Moore,2972,9755
Frederic Cummings,7994,1426
Maiya Torp,7392,7001
Jaliyah Mohr DVM,509,670
Mr. Rolando Pfannerstill PhD,1803,7159
Mafalda Ernser,7546,5709
Alvera Oberbrunner,8466,9241
Epsie Lueilwitz-Farrell,5957,4529
Mr. Torrence Rodriguez,8578,6367
Marni Hills,5416,808
Rosey Ankunding,6926,3968
Letty Mayer,3572,9909
Mr. Kareen Bergstrom,6134,7275
Trevon Baumbach,9137,7226
Martin Wyman,1335,6546
Maybelle Cummings,5754,916
Arly O'Keefe PhD,5771,8236
Missouri Schulist,517,4080
August Blick-Kilback,4520,5618
Red Dooley,5092,4552
Jeffery Heller,3219,4116
Arnold Parisian,3522,9236
Connie Zemlak,5842,9827
Latesha Rippin,4275,6489
Doretta Batz,4055,3756
Dianne Fadel-Franecki,8792,2801
Rowland Stracke,9724,5552
Wells Schoen-Windler,6106,8059
Madisen Schoen,3332,8133
Wilfredo Ziemann,848,486
Mrs. Destiny Hand DDS,5659,5446
Dr. Jazlynn Ondricka,7958,7259
Darby Grady,4279,1852
Celestine Kihn DVM,9625,7225
Don Kiehn,7317,6017
Mira Reilly,8274,6168
Valencia Vandervort,3017,824
Clifton Rempel,997,2403
Commodore Murray,6973,6682
Amira Wehner,7418,6901
Press Roberts,9515,5774
Estill Glover,4450,6247
Payton Klocko,9827,9268
Mrs. Erlene Paucek DDS,2523,6617
Ms. Sheridan Reinger,9150,9625
Rosy Bode,8652,6776
Mr. Brook Orn,5480,580
Kazuko Runte,3120,4024
Mr. Amerigo Bartoletti,562,3008
Nichelle Macejkovic-Gutkowski,8166,6516
Ashlee Rutherford,8454,9209
Dr. Darrius Krajcik,7765,6089
Mr. Josiah Rutherford IV,4162,988
Alec Hammes,9551,2554
Micheal Nolan-Okuneva,5142,8699
Octavie Connelly-Blick,8783,781
Mr. Adrain Dare,2642,769
Mrs. Cheryle Gerhold,9408,4092
Caiden Rice,6657,7263
Andre Sanford,3898,7631
Marilla Farrell,6013,1714
Floyd Friesen,5321,6020
Monte D'Amore,3860,4138
Mrs. Emma D'Amore DVM,5931,3943
Flonnie Maggio,5490,8123
Omar Rippin,1649,3377
Meryl Graham DDS,3455,5641
Mr. Ronan Becker Jr.,3356,535
Mr. Hasan Nicolas MD,9536,9105
German Waelchi,4215,2864
Prince Fritsch,17,3322
Mortimer Shields-Powlowski,9167,1645
Elvie Lind,4393,5646
Jemal Morissette,6878,7559
Toya Hahn PhD,1003,2937
Ms. Stephanie Stehr,2373,7674
Ellen McClure,3084,3374
Mr. Elgie Graham,3687,4776
Nichole Konopelski-Quigley,3580,9406
Sara Emard-Douglas,6863,640
Sheilah Armstrong MD,9805,7178
Billie Kihn,1199,8614
Gwen Schmitt MD,587,2627
Adela Jakubowski,3047,5335
Dereon Feest MD,5811,300
Mr. Ludwig Towne IV,1755,7926
Destinee Boyle,949,5746
Miss Kimberli Funk DDS,4995,9339
Geno Jerde,1307,4297
Mr. Iva Hettinger,3095,3273
Dorr Kub,6834,7320
Thaddeus Crooks,433,1788
Clayton Kerluke-Wolf,878,1881
Adeline Spencer,208,381
Ever Lebsack,3363,6049
Leanne Borer-Robel,5950,2870
Zigmund Kozey,6414,5057
Mr. Tristan Murazik,805,3455
Maeve Metz,7987,7336
Ms. Dionne Davis DVM,4053,343
Bernhard Monahan,7124,3452
Roscoe Yost,3884,9957
Melba Gibson,6968,631
Gemma Lindgren,8752,4461
Yahaira Rutherford,9543,3001
Lum Raynor,8082,862
Nat Barrows Jr.,2185,4248
Tera Hansen,5976,7364
Dario Casper,2429,7399
Skylar Cronin,4788,9256
Miss Candice Collier PhD,8110,5054
Monty Koepp-Medhurst,1184,9508
Saverio Olson I,9822,3815
Gustav Kemmer PhD,3567,8527
Marietta Ferry,9241,3002
Chauncy Bogisich,8734,8858
Dr. Lisandro Gerhold,8006,407
Josiah Watsica,2951,9992
Dr. Tim Powlowski,8197,2114
Mr. Benedict Kilback,4485,8748
Davian Willms,8659,8011
Shaniece Kessler-Monahan,1119,5373
Shasta Bogan-Hettinger,8320,8583
Jeff Boyer-Schroeder,4386,7783
Wilfrid Anderson,8629,9633
Chrissie Harber,9081,9583
Marely Schneider,4654,6920
Vander Bradtke,579,9648
Miss Elmire Bailey,6200,4875
Chanie Bogan-McKenzie,2778,8265
Mrs. Kimberlie Ward DVM,6506,1673
Cortez Cormier,2082,4723
Antonette Kovacek,3144,8642
Breanna Larson,3683,6395
Wade Sauer,457,8113
Keanu Weimann-Kuphal,4106,2208
Octa Schowalter,8487,1973
Mrs. Marsha Rogahn,3255,2051
Sebastian Glover,6261,9898
Early Hamill,3189,4695
Sheryll Bailey-Schuster,1366,1514
Quinten Walter Jr.,9670,5084
Zula McLaughlin,7797,9133
Miss Luna Rohan PhD,155,2072
Abigail Bogisich-Streich,1524,2947
Polk Grady,3592,8461
Miss Kirsten Franecki DDS,3711,4596
Meda Harris-Emard,7446,8556
Barb O'Hara,2684,7747
Willie Will,8767,7220
Shelley Schroeder,7477,5790
Mrs. Brandie Kessler MD,836,7883
Arnav Gorczany,5366,5569
Mr. Donell Spencer II,6866,9163
Geoffrey Ebert,5055,1885
Kaliyah Weissnat-Medhurst,4034,7281
Miss Kenisha Smith,1841,662
Mr. Federico Lehner,8729,8445
Ferd Ernser,1392,3402
Trace Armstrong-Weissnat,288,6287
Jordi McDermott,3487,6784
Patrick Russel-Jast,1157,2205
Ms. Mia Dach PhD,6257,9045
Dianna Lynch,1679,6462
Dr. Miya O'Connell,2501,3588
Cornie Gleason-Gleichner,8433,6062
Joy Barrows,2826,8563
Elwin Hilll,7404,5274
Brion O'Conner,2957,3840
River Brakus,9997,4843
Mr. Darrius Kunze,4932,1727
Lakendra Watsica,6502,3130
Fronnie Harber,5146,9503
Wilfrid Moen I,3522,7192
Ms. Devan Paucek DDS,9064,3724
Noelle Vandervort DVM,7846,2230
Leva Zulauf PhD,4079,3176
Ott Wehner,3241,6912
Ryland Harber-Hermiston,5887,4644
Eloise Ledner-Yundt,7620,1422
Vaughn Gerlach-Glover,9718,1527
Selina Johnston,3353,9082
Dr. Shelton Wuckert,1303,8169
Tiney Mayert,4452,8510
Viridiana Hills,2808,5460
Chadrick Fahey,6829,673
Mr. Linwood O'Reilly,6698,6089
Josephus Paucek II,177,8306
Ena Pfannerstill,7572,3914
Jaiden Hauck PhD,7655,2008
Dr. Katerina Borer,1498,5005
Amiya Swift,1119,8899
Oney Barton,9828,9025
Dr. Chauncey Rodriguez,6260,5050
Hallie Farrell,5311,6990
Rashad Feest I,89,557
Yurem Macejkovic,9195,3964
Jamiya Bogan,9609,8273
Ernestine Hartmann,6406,7718
Mr. Rylan Ledner,5909,7606
Emery Goldner,7239,8914
Alvin Lowe,746,7810
Vincenzo Hayes,9091,8338
Mr. Reggie Connelly I,6017,6364
Samie Jacobi,463,1121
Wilford Hermann,1396,3360
Fredric Schoen-Leuschke,6735,4922
Aron Bruen-Collier,6134,7008
Vicie Weimann,3085,6233
Aron Baumbach,3869,7167
Opal Wolff-Keebler,9542,1034
Malcolm Spencer,4999,2966
Aurelio Oberbrunner,4314,9750
Niki Mohr,7217,4920
Julio Murazik-Labadie,9897,4821
Ferris Greenfelder Jr.,6023,5307
Carmen Hagenes-Renner,990,6249
Tommie Upton PhD,2003,1677
Lloyd Wisoky,4319,9362
Shyla Gerhold,3730,1590
Mrs. Sarrah Herzog DDS,974,1468
Ms. Amie Nicolas DVM,6801,3766
Dr. Lauren McDermott,3710,9226
Mell Kris,4761,5853
Dwight Jaskolski,4120,5357
Gardner Rutherford,4195,6649
Albin Ebert,6675,1866
Karin Johnson,9745,4916
Dr. Orrin Brekke III,6114,5239
Dr. Kanesha Carter DDS,1695,2166
Laurence Von,5830,1168
Dr. Camryn Paucek Sr.,5029,2861
Franklyn Mueller,965,854
Hardy Lindgren Sr.,5702,6909
Hortense Streich,7520,4574
Davey Stracke,525,5000
Kwame Conn,5066,6088
Annis Barrows-Ledner,6649,1033
Wilburn Predovic,7241,2032
Mr. Hector Shields II,2319,3119
Ms. Cheri Rodriguez MD,8773,6962
Marybelle Larkin,8446,1985
David Brekke,4241,3479
Ferrell Kerluke,4816,3235
Zakary Homenick,767,2692
Dr. Florine Cruickshank DVM,8763,1080
Marylee Senger,5587,7893
Suzie Lebsack,1269,5602
Rosario Roberts-Bayer,5278,2519
Anita Kassulke,6293,1357
Cheyanne O'Hara,8101,9886
Lawrence Turner,8450,6038
Elba Labadie,1825,3471
Kevon Paucek,4720,8664
Vincenzo Monahan,92,2734
Miss Alivia Waters,1361,9976
Yadira Littel,5251,8203
Vivian Jakubowski-Streich,383,3646
Claire Roberts,4370,6830
Carisa Sipes,3233,837
Stacie Friesen,4853,32
Isis Kohler,4784,2097
Ms. Savannah Mante,2257,1389
Quentin Bogisich,4234,8038
Burke Strosin,8452,9982
Jay Volkman,6296,689
Burrell Keeling Jr.,6005,7454
Rolla Watsica-Satterfield,6127,6694
Shane Simonis,7688,3293
Dr. Tatyana Aufderhar,1906,3090
Karrie Keeling MD,5114,7052
Dr. Angel Sauer DVM,328,9301
Manervia Roberts,6693,1002
Lemuel Hansen,1529,1225
Ms. Corinna Bauch,2397,839
Macey Haley,7838,3099
Dafne Lehner,6403,1357
Ah Kuhn,2210,9795
Sara Graham,4852,231
Normand Kris-Hane,2879,9056
Ellsworth Cruickshank,5859,1988
Orie Wunsch,3249,6415
Dr. Maria Schuster DDS,238,1790
Dr. Duwayne Howe,6223,8933
Lavon Emard-Bernhard,9464,7598
Regan Jast,1358,6700
Lucious Harvey,3370,8956
Leisha Murphy MD,4291,3197
Toby Johns,8685,8943
Atticus Fritsch MD,2768,268
Maryanne Kozey,5494,1014
Lenna Zieme MD,9847,3599
Ms. Magnolia Fisher,3101,7754
Orvis Runolfsson,1474,8338
Jaunita Kunde,438,1815
Georgie Hegmann,2004,903
Dr. Angeles Kautzer,7619,9760
Bradyn Powlowski,9749,250
Aloys Bednar,75,361
Tracey Reichert,8767,179
Mayo Bailey,1526,7458
Demarco Brakus,2109,1085
Mr. Esker Lemke,8043,2548
Ayla Senger,3301,2349
Elbridge Rogahn,1995,6882
Ms. Martina Bahringer MD,6552,3077
Jalissa Volkman,8853,4788
Unique Muller,3690,4314
Mandy Grimes,2816,9485
Sylvan Hayes,8018,2455
Silver Beier,8310,4329
Cleola Bahringer,6788,1151
Millie Blanda,7420,2549
Murray Welch,6754,8933
Kacie Runolfsdottir DDS,6075,8759
Champ Ortiz,9134,7854
Pink Balistreri,4989,1090
Durrell Bergnaum-Strosin,7689,2852
Mr. Richie Dare,1265,7206
Dr. Dayana Stokes MD,2340,8212
Phil Cruickshank DVM,5787,3191
Lue Daniel,2629,675
Martha Cummerata,7800,3080
Darrius Lehner,1859,5038
Era Kuphal,3184,4351
Magdalene Leannon,747,1563
Alexus Goldner,7056,7748
Dr. Arietta Langosh,9015,6201
Sharman Corkery,7961,9272
Miss Dessa Dare DDS,7365,6478
Dillon Volkman,2556,3176
Rollie Rodriguez,9239,1908
Tiana Sporer,4570,8424
Aletha Hilll,8909,2768
Milagros Jacobs,7044,9313
Quintin Wilkinson,4431,5513
Mr. Ezequiel Mills,4915,6557
Miss Sharyl Haag DDS,7002,789
Esperanza Mosciski-Yost,6136,5568
Mauricio Auer,8961,1095
Arsenio Eichmann-Batz,5119,6419
Mercer Dickinson-Ondricka,9782,5818
Sylvan Wisoky,3528,3377
Porfirio Pagac,6227,9154
Valentino Krajcik,6673,9280
Reuben Eichmann,6129,7204
Dr. Henery Littel V,1556,3561
Gianni Swaniawski,3571,6941
Tracee Thompson,2540,9601
Carla Doyle,3241,5420
Ciarra Gulgowski-Ryan,470,7210
Miss Elnora Maggio,680,7463
Alphonsine Gulgowski,4975,7138
Ancel Hessel-Langworth,7996,9741
Myrle Denesik,6628,2858
Dr. Rylan Thompson II,9041,6901
Levin King,2457,5987
Kianna Christiansen,9101,5068
Marcus Treutel-Flatley,8070,3914
Brennon Denesik PhD,9876,7885
Dr. Amil Bogisich III,8339,9655
Mychal Parker,7583,8803
Ever Effertz-Ratke,665,7093
Destini Lockman PhD,6861,8822
Brandie O'Conner-Haag,6098,5291
Dr. Stanton Flatley IV,2669,3711
Randal Quitzon,8728,818
Baxter Gerlach,8549,1377
Rupert Goyette,7512,3327
Delos Stark V,4808,1460
Rutha Ward,4120,6384
Dr. Emely Spencer,8534,2329
Dr. Laverne Skiles,4687,3825
Essie Langworth-Orn,5519,6857
Dr. Ricki Botsford DDS,4456,2892
Kraig Quitzon,6764,7448
Mrs. Terri Langworth,4953,2787
Antonette Kunde-Sporer,2666,3017
Mrs. Jessika Schuster,1997,1023
Danae Oberbrunner PhD,8198,8703
Tomasa Pollich,2202,2855
Mr. Rudolf Gorczany,5645,3012
Verdell Hoeger,6271,4131
Dejuan Ferry,257,3507
Delma Von,2540,8856
Boone Sauer,6770,2403
Mrs. Alyssia Huel PhD,3308,7196
Mr. Zenas Tillman,1346,4041
Santina Ernser,4897,3292
Julianne Christiansen,5569,2806
Nan Okuneva,1350,3176
Dollie Huels,7804,5050
Wayland Gulgowski,4136,6591
Emmanuel Crist,1489,9764
Dr. Francesca O'Conner,3004,8774
Samuel Aufderhar,294,4771
Pershing Wisozk,7969,7000
Buell Cormier,1690,9034
Lavona Auer,2161,49
Hilda Cronin-Braun,3257,4197
Macie Stamm,6490,6000
Etha Johnston-Schroeder,6529,3482
Cheryl Krajcik,2710,9712
Mr. Kenneth Bechtelar V,4844,604
Rollo VonRueden,2013,3299
Kalene White,7984,6636
Sharee Wiegand,7980,5651
Fay Bechtelar,3542,8576
Math Bradtke,9013,3394
Bambi Graham,210,7004
Kyleigh Stark-Pouros,6559,9883
Mrs. Mossie Mosciski DDS,7886,6048
Doreen Batz,1911,6004
Exa Pacocha,8852,2178
Miss Gaylene Kerluke,7344,2711
Jayden Goyette,6886,5708
Josefa Kulas DDS,9686,4939
Elsworth Ferry,8931,9480
Leonce Schmidt,4646,7341
Captain Wintheiser,93,3803
Ally Satterfield-White,6574,7012
Corey Kuvalis,933,2175
Yaretzi Schultz,284,5816
Camden Harris,86,8140
Cordie Goyette,2142,6646
Codie Ankunding,6892,2682
Joetta Boyle,7007,6640
Mr. Jovani Leannon,105,6865
Mr. Bentley Abshire,4764,3989
Dr. Destini Lesch,5763,2224
Dr. Lacey Douglas,3421,5325
Aiyana Blick,964,1251
Ms. Mirna Schulist MD,5073,563
Mikhail Doyle,7879,9675
Myah O'Kon DVM,5569,8383
Quinn Nolan,7737,5035
Duard Maggio-Hyatt,9817,6976
Abraham Nienow-Emard,1199,8610
Katelyn Emard-Gleason,7512,9190
Bridget McGlynn,8611,3949
Bush Williamson,3510,70
Jayson Cummings PhD,7139,6352
Sarahi Bernier-Ruecker,4415,5988
Brown Feeney PhD,8154,2129
Clarisa Wolf,1464,4682
Minta Champlin,9126,6204
Johnnie Gislason,6562,1904
Pansy Robel,4954,4890
Alysia Legros,9692,5192
Corrine Farrell,6010,4613
Dr. Frances Bernhard II,271,8484
Odette Carroll,9879,8107
Kiersten Dibbert,508,1767
Aurore Leuschke MD,2525,8443
Artelia Sanford,6969,6135
Mr. Byrd Schaden,5618,5775
Virgle Stoltenberg-Tromp,1828,1549
Bailey Moore MD,2042,6326
Kittie Feil DVM,1295,5862
Miss Rosaria Hayes,5176,7924
Worth King,8993,8071
Megan Feest,1963,8035
Ms. Alina Reinger DVM,1149,4159
Ariella Schmeler PhD,3530,6346
Mrs. Zana Ryan DVM,1710,5237
Ms. Darcie Mohr,7326,3958
Ivana Goyette PhD,2872,2039
Norene Trantow,2432,3583
Mr. Trevon Quigley,834,5437
Luana Carroll-Tromp,6047,625
Lawrence Strosin,7366,5168
Sibyl West PhD,6740,172
Randolf Metz,1630,7829
Dangelo Stamm,8917,9641
Fredrick Windler,592,9277
Thea Mohr,713,708
Sumner Hickle,4594,8503
Ewing Sporer,2957,3163
Marquis Hettinger,8673,1906
Shannen Larkin,9805,6633
Madora Wiza,9,3822
Joy Turcotte V,258,3921
Izora Dach,9360,4849
Sharde Shields,2613,9039
Dr. Yazmin Langworth,9751,663
Miss Payton Upton,6717,8563
Phil Klein III,7966,7748
Reno Botsford,1751,7219
Nery Mohr,2360,1806
Mr. Guthrie Legros DDS,275,7495
Carmen Carter,7583,678
Leigh Mueller I,8840,1044
Micheal Muller,9870,4803
Santos Kihn-Konopelski,331,9796
Addyson Hudson,3675,5657
Joanne Daugherty,5629,4477
Mr. Jayce Hayes II,2976,5135
Bluford Boyle,2053,1778
Ota Schamberger-Abbott,1925,2284
Dr. Alize Torphy,4962,5189
Jonas Kohler,6168,9639
Jonas Swift,6673,3184
Pernell Kling,4204,651
Zeke Torp Jr.,4316,6104
Yancy Green-Mohr,3122,5952
Green Leffler,9569,9341
Elie Batz,9331,3203
Wilber Sipes,5934,8552
Roselyn Mayert,4063,684
Callum Jaskolski,673,7517
Inga Osinski,8703,9539
Asher Lesch II,8792,4817
Dr. Wenzel Kub,4982,635
Effie Thompson-Ziemann,321,7921
Bethzy Boyle MD,1581,123
Gannon Kihn,7466,4254
Grayling Blick,6832,4090
Dr. Daquan Lueilwitz,7715,567
Miss Idella Johnson DVM,3783,2301
Bilal Beatty,8670,7104
Dr. Katarina Cartwright,8390,9153
Cristopher Schinner,7339,7267
Kazuo Johnston Sr.,3308,221
Katy Jacobson,2818,9363
Alois Heaney,3614,5489
Mrs. Brooklynn Spencer,5986,9075
Krista Sipes,6936,3094
Barnett Harris,5285,7881
Chin Stroman,8523,2975
Jacob Rath,3164,9556
Ferne Cruickshank,6305,7831
Wardell Metz-Cummerata,2846,7537
Milan Nicolas-Roob,9217,8665
Arch Marquardt,7811,9574
Cristofer Crooks-Kertzmann,7693,3246
Miss Destinee Schinner PhD,9854,2804
Melbourne Moore,935,9810
Mr. Schuyler Ullrich,5913,6045
Georgie Cronin,1424,2994
Maria Moen,6193,9606
Andre Hilpert,5468,3716
Vernelle Gleichner,6204,7501
Annabel Mills PhD,8687,6927
Dessie Graham,433,20
Freida Pollich-DuBuque,7683,9342
Audy Simonis,2856,8268
Darla Feeney DVM,9452,3120
Burt Kuphal,46,7234
Dr. Vernice Rohan DDS,9296,4573
Luca Kihn,6879,7698
Shaina Mohr,5095,3190
Dr. Vernetta Reichert MD,9439,6741
Lucy Hahn,8808,5611
Gaylene Gibson,6564,5559
Brittany Hettinger,3064,798
Tabitha Torphy PhD,8419,1855
Dewitt Gusikowski,2282,1931
Evette Weber,4904,9624
Syed Robel,4465,7869
Kallie Kertzmann,48,9762
Lisbeth Glover,909,2307
Darren Buckridge,7897,6400
Louis Gutkowski II,2228,1099
Jett Douglas,1581,4059
Dr. Matthew Runolfsson MD,6207,9996
Charls Jakubowski II,3319,8018
Dr. Wade Rohan II,170,5094
Virgie O'Conner I,7869,7838
Mrs. Gail Langosh PhD,2020,1100
Todd Marvin I,9695,4263
Christion Olson Jr.,1611,9664
Jerrica Mayer,8570,6644
Geri Walter,5891,9495
Severt Koelpin,8133,4217
Jerrell Lind-Kertzmann,591,5886
Lettie Douglas,6349,6326
Barnard Glover-Cummings,2775,5044
Clyda Bogan PhD,7024,4952
Eleanora Fisher,7020,7441
Mistie Runolfsdottir,8570,6241
Ardelle Block MD,9587,3220
Trever Carter-Cormier,5950,7300
Tyreke Torphy DVM,8859,7232
Kaila Hermann,7210,7826
Aryan Rolfson,7122,7925
Mr. Najee Kassulke,7722,6056
Nicolas Nienow-Blanda,3641,8987
Guthrie Williamson,2106,4512
Leesa Conroy,9957,3286
Tyrel Pfannerstill-Pfannerstill,892,4065
Dr. Finn Beahan,695,8015
Gorden Schaefer MD,7562,9748
Dr. Arlin Herzog PhD,4372,6372
Cameron Anderson PhD,1012,2008
Waino Bergnaum,664,1644
Georgeanna Rempel,4862,9704
Venessa Harvey-Price,6242,8321
Miss Margret Mosciski,3737,28
Carroll Shields,9760,5518
Valery Feil,7033,4404
Mr. Fulton Davis III,6485,780
Governor Reynolds,415,7120
Sanai Runte,1413,1360
Dr. Bernardo Steuber V,7971,7695
Marques Christiansen,64,2871
Camille Schmidt,1600,4234
Dr. Emiliano Mante MD,7747,5155
Dona Bailey-Flatley,8436,4113
Citlalli Mayert-Smith,1329,453
Dr. Seldon Kuhic PhD,3316,2831
Rollin Medhurst,6736,9937
Mell Mayer V,4446,8205
Miss Jazmyne Fahey,1010,8161
Leonora Quigley,4127,3105
Mr. Maxim Kuhlman,5819,8506
Miss Lynn Schmidt MD,1766,4316
Montie Kiehn,1762,9186
Makaila Hickle,7553,8567
Miss Phillis Crist MD,5365,1550
Ms. Yvette Hane,3580,3867
Ms. Odessa Cormier,3494,196
Sherrie Von-Aufderhar,9050,1944
Vander Dicki,9685,2646
Towanda Lind,5232,6772
Kenji Daniel,8139,6243
Dr. Zeb Lynch Jr.,2365,2772
Raiden Smitham,7398,3441
Giovanna Bartoletti,610,9272
Mrs. Meg Mayert PhD,3613,8123
Beth Reinger-Stroman,2466,5649
Vashon Donnelly-Heidenreich,366,34
Ell Barrows-Barrows,5959,9750
Jep Considine MD,7249,7582
Wardell Langosh,284,738
Lonie Kerluke-Thompson,6779,1857
Kaden Hammes-Collins,1290,6110
Rosendo Schaefer,4454,7798
Isam Kirlin,5307,7666
Dr. Mike Flatley V,1246,5363
Viviana Jacobson,6386,1440
Ms. Arra Sauer MD,6404,1204
Jamin Romaguera II,8987,2693
Hettie Medhurst,9422,8575
London Fay-Becker,9616,7454
Dr. Mallory Ward DVM,7294,6600
Danelle Zboncak,5714,8704
Miss Chantel Hagenes PhD,5198,4535
Chadrick Kohler,1114,5974
Amani Batz,3978,2344
Kayli Keebler DDS,3440,2993
Prosper Lang,2367,1176
Math Hyatt,6282,9089
Krystin Daniel MD,2111,2915
Chadd Adams,5630,1903
Jemima Stehr,7665,3940
Kanye Kub,6030,5438
Sarita Bins,7822,2179
Thomasina Hintz-Olson,4060,1689
Melvin Hilpert,9944,395
Walt Abernathy,852,1862
Ms. Doretta D'Amore DVM,696,1916
Issac Sipes,4360,7723
Orris Reilly,5351,3763
Lucero Thiel-Dooley,6435,7614
Ellie Gibson,4439,8875
